[14:45:15.844802 +00:00] [---E---] [telemetry.cpp] [thread 1387749] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[14:45:52.307053 +00:00] [---E---] [telemetry.cpp] [thread 1387749] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[14:46:21.421310 +00:00] [---E---] [telemetry.cpp] [thread 1387749] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[14:48:35.920984 +00:00] [---E---] [telemetry.cpp] [thread 1387749] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[14:48:44.425366 +00:00] [---E---] [telemetry.cpp] [thread 1387749] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[14:49:19.680965 +00:00] [---E---] [telemetry.cpp] [thread 1387749] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[14:52:37.877351 +00:00] [---E---] [telemetry.cpp] [thread 1387749] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[14:52:44.833132 +00:00] [---E---] [telemetry.cpp] [thread 1387749] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[14:56:53.871496 +00:00] [---E---] [telemetry.cpp] [thread 1387749] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[15:21:53.051692 +00:00] [---E---] [telemetry.cpp] [thread 1387749] Telemetry request failed: [Timeout was reached], but ignore it now
[15:22:35.064131 +00:00] [---E---] [telemetry.cpp] [thread 1387749] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[15:23:08.007747 +00:00] [---E---] [telemetry.cpp] [thread 1387749] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[15:28:20.139637 +00:00] [---E---] [telemetry.cpp] [thread 1387749] Telemetry request failed: [Timeout was reached], but ignore it now
